Season,Date,ConstructorName,Points
1968,1968-08-01,McLaren,0.0
1968,1968-10-01,McLaren,0.0
1971,1971-03-01,McLaren,1.0
1971,1971-04-01,McLaren,2.0
1971,1971-05-01,McLaren,3.0
1971,1971-06-01,McLaren,0.0
1971,1971-07-01,McLaren,0.0
1971,1971-08-01,McLaren,0.0
1971,1971-09-01,McLaren,4.0
1971,1971-10-01,McLaren,0.0
1972,1972-01-01,McLaren,6.0
1972,1972-03-01,McLaren,9.0
1972,1972-05-01,McLaren,4.0
1972,1972-06-01,McLaren,4.0
1972,1972-07-01,McLaren,6.0
1972,1972-08-01,McLaren,6.0
1972,1972-09-01,McLaren,14.0
1972,1972-10-01,McLaren,4.0
1973,1973-01-01,McLaren,2.0
1973,1973-02-01,McLaren,4.0
1973,1973-03-01,McLaren,6.0
1973,1973-04-01,McLaren,3.0
1973,1973-05-01,McLaren,0.0
1973,1973-06-01,McLaren,11.0
1973,1973-07-01,McLaren,12.0
1973,1973-08-01,McLaren,4.0
1973,1973-09-01,McLaren,13.0
1973,1973-10-01,McLaren,3.0
1974,1974-01-01,McLaren,18.0
1974,1974-03-01,McLaren,4.0
1974,1974-04-01,McLaren,4.0
1974,1974-05-01,McLaren,11.0
1974,1974-06-01,McLaren,7.0
1974,1974-07-01,McLaren,7.0
1974,1974-08-01,McLaren,6.0
1974,1974-09-01,McLaren,15.0
1974,1974-10-01,McLaren,3.0
1975,1975-01-01,McLaren,15.0
1975,1975-03-01,McLaren,1.0
1975,1975-04-01,McLaren,4.5
1975,1975-05-01,McLaren,6.0
1975,1975-06-01,McLaren,0.0
1975,1975-07-01,McLaren,13.0
1975,1975-08-01,McLaren,1.5
1975,1975-09-01,McLaren,6.0
1975,1975-10-01,McLaren,6.0
1976,1976-01-01,McLaren,1.0
1976,1976-03-01,McLaren,8.0
1976,1976-05-01,McLaren,12.0
1976,1976-06-01,McLaren,2.0
1976,1976-07-01,McLaren,9.0
1976,1976-08-01,McLaren,21.0
1976,1976-09-01,McLaren,0.0
1976,1976-10-01,McLaren,22.0
1977,1977-01-01,McLaren,6.0
1977,1977-03-01,McLaren,3.0
1977,1977-04-01,McLaren,0.0
1977,1977-05-01,McLaren,6.0
1977,1977-06-01,McLaren,6.0
1977,1977-07-01,McLaren,13.0
1977,1977-08-01,McLaren,1.0
1977,1977-09-01,McLaren,3.0
1977,1977-10-01,McLaren,22.0
1978,1978-01-01,McLaren,3.0
1978,1978-03-01,McLaren,0.0
1978,1978-04-01,McLaren,0.0
1978,1978-05-01,McLaren,0.0
1978,1978-06-01,McLaren,4.0
1978,1978-07-01,McLaren,5.0
1978,1978-08-01,McLaren,0.0
1978,1978-09-01,McLaren,2.0
1978,1978-10-01,McLaren,1.0
1979,1979-01-01,McLaren,4.0
1979,1979-02-01,McLaren,0.0
1979,1979-03-01,McLaren,0.0
1979,1979-04-01,McLaren,0.0
1979,1979-05-01,McLaren,4.0
1979,1979-07-01,McLaren,5.0
1979,1979-08-01,McLaren,0.0
1979,1979-09-01,McLaren,1.0
1979,1979-10-01,McLaren,1.0
1980,1980-01-01,McLaren,3.0
1980,1980-03-01,McLaren,3.0
1980,1980-05-01,McLaren,0.0
1980,1980-06-01,McLaren,0.0
1980,1980-07-01,McLaren,1.0
1980,1980-08-01,McLaren,1.0
1980,1980-09-01,McLaren,3.0
1980,1980-10-01,McLaren,0.0
1981,1981-03-01,McLaren,0.0
1981,1981-04-01,McLaren,0.0
1981,1981-05-01,McLaren,1.0
1981,1981-06-01,McLaren,4.0
1981,1981-07-01,McLaren,15.0
1981,1981-08-01,McLaren,2.0
1981,1981-09-01,McLaren,6.0
1981,1981-10-01,McLaren,0.0
1982,1982-01-01,McLaren,4.0
1982,1982-03-01,McLaren,6.0
1982,1982-04-01,McLaren,10.0
1982,1982-05-01,McLaren,9.0
1982,1982-06-01,McLaren,13.0
1982,1982-07-01,McLaren,12.0
1982,1982-08-01,McLaren,6.0
1982,1982-09-01,McLaren,9.0
1983,1983-03-01,McLaren,19.0
1983,1983-04-01,McLaren,0.0
1983,1983-05-01,McLaren,2.0
1983,1983-06-01,McLaren,5.0
1983,1983-07-01,McLaren,1.0
1983,1983-08-01,McLaren,7.0
1983,1983-09-01,McLaren,0.0
1983,1983-10-01,McLaren,0.0
1984,1984-03-01,McLaren,9.0
1984,1984-04-01,McLaren,15.0
1984,1984-05-01,McLaren,18.0
1984,1984-06-01,McLaren,17.5
1984,1984-07-01,McLaren,9.0
1984,1984-08-01,McLaren,39.0
1984,1984-09-01,McLaren,9.0
1984,1984-10-01,McLaren,27.0
1985,1985-04-01,McLaren,9.0
1985,1985-05-01,McLaren,12.0
1985,1985-06-01,McLaren,4.0
1985,1985-07-01,McLaren,13.0
1985,1985-08-01,McLaren,32.0
1985,1985-09-01,McLaren,13.0
1985,1985-10-01,McLaren,7.0
1985,1985-11-01,McLaren,0.0
1986,1986-03-01,McLaren,0.0
1986,1986-04-01,McLaren,18.0
1986,1986-05-01,McLaren,16.0
1986,1986-06-01,McLaren,13.0
1986,1986-07-01,McLaren,16.0
1986,1986-08-01,McLaren,9.0
1986,1986-09-01,McLaren,9.0
1986,1986-10-01,McLaren,15.0
1987,1987-04-01,McLaren,13.0
1987,1987-05-01,McLaren,18.0
1987,1987-06-01,McLaren,4.0
1987,1987-07-01,McLaren,10.0
1987,1987-08-01,McLaren,5.0
1987,1987-09-01,McLaren,22.0
1987,1987-10-01,McLaren,0.0
1987,1987-11-01,McLaren,4.0
1988,1988-04-01,McLaren,9.0
1988,1988-05-01,McLaren,39.0
1988,1988-06-01,McLaren,30.0
1988,1988-07-01,McLaren,39.0
1988,1988-08-01,McLaren,30.0
1988,1988-09-01,McLaren,10.0
1988,1988-10-01,McLaren,27.0
1988,1988-11-01,McLaren,15.0
1989,1989-03-01,McLaren,6.0
1989,1989-04-01,McLaren,15.0
1989,1989-05-01,McLaren,26.0
1989,1989-06-01,McLaren,9.0
1989,1989-07-01,McLaren,33.0
1989,1989-08-01,McLaren,24.0
1989,1989-09-01,McLaren,15.0
1989,1989-10-01,McLaren,13.0
1989,1989-11-01,McLaren,0.0
1990,1990-03-01,McLaren,19.0
1990,1990-05-01,McLaren,19.0
1990,1990-06-01,McLaren,16.0
1990,1990-07-01,McLaren,23.0
1990,1990-08-01,McLaren,19.0
1990,1990-09-01,McLaren,22.0
1990,1990-10-01,McLaren,0.0
1990,1990-11-01,McLaren,3.0
1991,1991-03-01,McLaren,24.0
1991,1991-04-01,McLaren,16.0
1991,1991-05-01,McLaren,10.0
1991,1991-06-01,McLaren,4.0
1991,1991-07-01,McLaren,16.0
1991,1991-08-01,McLaren,29.0
1991,1991-09-01,McLaren,17.0
1991,1991-10-01,McLaren,16.0
1991,1991-11-01,McLaren,7.0
1992,1992-03-01,McLaren,9.0
1992,1992-04-01,McLaren,0.0
1992,1992-05-01,McLaren,17.0
1992,1992-06-01,McLaren,10.0
1992,1992-07-01,McLaren,8.0
1992,1992-08-01,McLaren,16.0
1992,1992-09-01,McLaren,23.0
1992,1992-10-01,McLaren,6.0
1992,1992-11-01,McLaren,10.0
1993,1993-03-01,McLaren,16.0
1993,1993-04-01,McLaren,10.0
1993,1993-05-01,McLaren,18.0
1993,1993-06-01,McLaren,0.0
1993,1993-07-01,McLaren,9.0
1993,1993-08-01,McLaren,3.0
1993,1993-09-01,McLaren,4.0
1993,1993-10-01,McLaren,14.0
1993,1993-11-01,McLaren,10.0
1994,1994-03-01,McLaren,0.0
1994,1994-04-01,McLaren,0.0
1994,1994-05-01,McLaren,10.0
1994,1994-06-01,McLaren,0.0
1994,1994-07-01,McLaren,4.0
1994,1994-08-01,McLaren,9.0
1994,1994-09-01,McLaren,11.0
1994,1994-10-01,McLaren,4.0
1994,1994-11-01,McLaren,4.0
1995,1995-03-01,McLaren,4.0
1995,1995-04-01,McLaren,2.0
1995,1995-05-01,McLaren,2.0
1995,1995-06-01,McLaren,0.0
1995,1995-07-01,McLaren,2.0
1995,1995-08-01,McLaren,2.0
1995,1995-09-01,McLaren,9.0
1995,1995-10-01,McLaren,6.0
1995,1995-11-01,McLaren,3.0
1996,1996-03-01,McLaren,5.0
1996,1996-04-01,McLaren,4.0
1996,1996-05-01,McLaren,7.0
1996,1996-06-01,McLaren,10.0
1996,1996-07-01,McLaren,8.0
1996,1996-08-01,McLaren,7.0
1996,1996-09-01,McLaren,4.0
1996,1996-10-01,McLaren,4.0
1997,1997-03-01,McLaren,17.0
1997,1997-04-01,McLaren,3.0
1997,1997-05-01,McLaren,1.0
1997,1997-06-01,McLaren,0.0
1997,1997-07-01,McLaren,7.0
1997,1997-08-01,McLaren,0.0
1997,1997-09-01,McLaren,16.0
1997,1997-10-01,McLaren,19.0
1998,1998-03-01,McLaren,32.0
1998,1998-04-01,McLaren,17.0
1998,1998-05-01,McLaren,26.0
